gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group E,high school,standard,completed,71,66,92
male,group B,bachelor's degree,free/reduced,none,89,60,70
male,group D,high school,standard,none,83,81,76
male,group D,associate's degree,standard,none,58,78,56
male,group B,associate's degree,standard,none,80,90,36
female,group C,some college,free/reduced,none,73,80,79
female,group B,bachelor's degree,standard,none,61,94,84
male,group B,high school,standard,none,82,85,77
male,group C,bachelor's degree,free/reduced,completed,76,81,71
female,group C,associate's degree,standard,completed,56,100,100
female,group D,bachelor's degree,standard,none,79,90,68
male,group E,associate's degree,standard,none,83,80,77
female,group D,bachelor's degree,free/reduced,none,64,91,81
female,group B,master's degree,standard,completed,81,48,100
male,group B,some college,standard,completed,68,78,79
male,group B,bachelor's degree,standard,none,84,69,65
female,group B,associate's degree,standard,none,72,90,58
male,group E,some college,standard,none,74,91,91
female,group C,master's degree,standard,completed,85,64,90
male,group B,some college,standard,completed,58,100,92
female,group D,some college,standard,none,59,59,100
male,group C,some high school,free/reduced,none,37,54,72
female,group A,high school,standard,none,82,78,53
female,group B,bachelor's degree,standard,completed,61,80,78
male,group D,some college,free/reduced,completed,77,52,62
female,group D,some college,free/reduced,none,69,78,60
female,group B,high school,free/reduced,none,74,79,62
female,group E,some college,standard,none,56,88,67
male,group D,bachelor's degree,standard,none,76,70,55
male,group D,bachelor's degree,standard,completed,100,86,100
male,group B,some high school,standard,none,94,76,80
female,group A,some college,standard,completed,98,100,79
female,group E,some college,standard,none,76,33,83
female,group C,associate's degree,standard,none,62,62,79
male,group D,some college,standard,none,82,77,76
male,group D,some college,standard,none,69,64,86
male,group B,some college,standard,none,79,80,77
male,group D,some college,free/reduced,completed,65,73,88
female,group E,some college,free/reduced,none,68,60,80
male,group D,some college,standard,none,70,78,74
female,group C,bachelor's degree,standard,none,75,84,76
female,group E,associate's degree,standard,none,82,73,97
female,group C,high school,standard,completed,67,73,73
female,group D,bachelor's degree,free/reduced,completed,52,68,79
female,group D,bachelor's degree,standard,none,100,78,81
female,group D,some high school,standard,completed,100,55,72
female,group C,some college,standard,completed,82,92,66
male,group B,high school,standard,completed,57,74,77
female,group B,associate's degree,standard,none,57,90,61
female,group C,high school,standard,none,75,82,50
male,group C,associate's degree,free/reduced,none,87,82,60
male,group C,high school,standard,completed,58,63,89
male,group C,some college,standard,completed,72,78,96
female,group D,master's degree,standard,none,74,60,88
male,group E,some college,standard,none,81,68,39
female,group B,bachelor's degree,standard,completed,75,95,90
female,group D,master's degree,standard,completed,50,100,74
male,group D,bachelor's degree,free/reduced,none,74,55,79
male,group C,some high school,standard,completed,87,76,74
male,group B,bachelor's degree,standard,none,73,78,72
male,group D,some high school,standard,none,70,84,75
male,group E,some college,standard,none,64,55,76
female,group D,bachelor's degree,standard,completed,71,60,100
female,group E,associate's degree,free/reduced,completed,93,88,77
female,group E,some college,standard,none,71,45,93
female,group C,some college,standard,none,79,66,91
male,group D,bachelor's degree,free/reduced,none,87,77,80
female,group C,associate's degree,standard,none,52,78,53
male,group E,some college,standard,none,62,75,95
male,group B,bachelor's degree,standard,none,79,73,72
male,group C,high school,free/reduced,none,59,85,77
female,group E,some high school,standard,none,79,77,55
female,group C,associate's degree,free/reduced,none,66,63,52
male,group D,master's degree,free/reduced,completed,53,82,100
male,group C,high school,free/reduced,none,64,73,49
male,group E,high school,free/reduced,none,65,91,87
male,group E,some high school,free/reduced,completed,85,87,79
male,group C,bachelor's degree,free/reduced,none,73,89,67
female,group D,high school,free/reduced,none,72,60,66
male,group C,some college,free/reduced,none,70,63,48
female,group D,master's degree,free/reduced,none,66,75,73
male,group D,some high school,free/reduced,none,55,65,51
male,group D,some college,standard,none,76,60,70
female,group A,some college,standard,none,65,88,90
female,group B,bachelor's degree,standard,none,99,90,84
female,group D,high school,free/reduced,none,88,67,43
male,group C,some college,standard,none,79,87,88
female,group C,some high school,free/reduced,none,70,72,66
female,group A,associate's degree,free/reduced,none,69,84,62
female,group C,associate's degree,free/reduced,completed,51,61,90
female,group E,some high school,standard,none,72,75,73
female,group A,some college,free/reduced,none,64,73,56
female,group C,bachelor's degree,free/reduced,none,70,86,100
female,group E,some high school,free/reduced,none,69,59,67
female,group A,high school,free/reduced,completed,92,37,73
female,group D,some college,standard,none,59,62,63
female,group B,high school,standard,none,59,76,95
female,group E,high school,standard,completed,97,86,71
male,group D,some college,free/reduced,completed,84,100,54
female,group E,high school,standard,completed,69,94,71
female,group B,some college,free/reduced,none,64,74,86
female,group C,associate's degree,free/reduced,none,55,72,80
female,group D,some college,standard,none,72,87,75
female,group B,some high school,standard,none,77,66,94
female,group B,bachelor's degree,standard,none,100,74,86
male,group A,some high school,free/reduced,completed,77,60,69
female,group E,associate's degree,standard,none,81,97,76
female,group D,high school,standard,none,47,81,81
female,group D,associate's degree,free/reduced,none,56,61,54
female,group D,high school,standard,none,91,76,78
female,group C,high school,free/reduced,none,70,68,76
male,group C,some college,standard,completed,8,79,55
male,group C,some high school,standard,none,79,70,66
female,group D,high school,standard,none,100,71,72
female,group B,associate's degree,standard,none,43,83,92
female,group E,bachelor's degree,standard,none,100,78,44
female,group D,some high school,free/reduced,none,21,63,61
male,group C,bachelor's degree,standard,completed,96,65,85
female,group C,bachelor's degree,standard,none,71,80,91
female,group B,bachelor's degree,standard,none,38,75,74
male,group E,associate's degree,standard,completed,85,76,100
female,group E,associate's degree,free/reduced,none,86,73,86
female,group E,some college,standard,completed,83,89,77
male,group C,associate's degree,free/reduced,none,73,83,78
female,group B,bachelor's degree,standard,none,69,85,72
female,group B,some high school,standard,completed,53,75,95
female,group B,high school,standard,none,79,65,51
male,group B,some high school,standard,none,90,60,61
female,group A,master's degree,free/reduced,none,87,68,80
female,group E,some college,standard,completed,46,78,100
female,group A,associate's degree,standard,none,49,62,43
female,group B,bachelor's degree,free/reduced,none,57,77,90
male,group D,master's degree,standard,completed,54,67,82
female,group C,some high school,free/reduced,completed,70,53,40
male,group D,bachelor's degree,free/reduced,none,73,89,20
male,group D,bachelor's degree,free/reduced,none,51,71,51
male,group E,some high school,free/reduced,none,76,59,66
female,group D,associate's degree,free/reduced,none,72,58,69
male,group C,high school,standard,none,58,87,85
male,group D,associate's degree,free/reduced,none,65,84,66
female,group C,some college,standard,none,38,68,59
male,group C,high school,free/reduced,none,56,69,68
male,group C,some high school,free/reduced,completed,73,88,76
female,group B,some high school,standard,none,74,52,77
male,group D,some high school,free/reduced,completed,75,100,62
female,group B,associate's degree,free/reduced,completed,77,100,86
male,group B,high school,standard,none,67,36,67
male,group B,high school,standard,completed,82,78,59
female,group D,associate's degree,free/reduced,completed,90,66,67
male,group C,associate's degree,free/reduced,none,58,69,87
female,group D,some college,standard,completed,81,73,76
male,group D,master's degree,standard,none,72,93,66
male,group A,some college,free/reduced,completed,61,77,95
female,group D,bachelor's degree,standard,none,81,68,100
female,group C,some high school,standard,none,63,68,74
female,group B,associate's degree,standard,none,78,79,93
female,group D,master's degree,standard,completed,84,68,95
female,group E,bachelor's degree,standard,none,72,63,70
female,group C,some college,free/reduced,none,61,100,69
female,group C,associate's degree,standard,none,64,66,50
female,group C,high school,free/reduced,none,32,69,66
male,group C,associate's degree,standard,completed,83,79,73
male,group D,associate's degree,standard,completed,77,86,78
male,group D,master's degree,standard,none,87,100,66
female,group D,some college,standard,none,64,83,69
male,group B,some high school,standard,none,100,52,86
male,group D,some college,standard,none,70,56,73
female,group D,some high school,standard,completed,62,77,53
female,group D,high school,standard,completed,68,74,67
male,group A,high school,free/reduced,none,40,40,48
female,group C,associate's degree,standard,none,91,89,75
female,group C,high school,free/reduced,none,84,48,75
male,group A,some high school,free/reduced,none,72,89,68
female,group B,some high school,standard,none,58,100,59
female,group C,bachelor's degree,standard,completed,100,82,90
male,group D,associate's degree,standard,none,66,86,67
male,group B,some high school,standard,completed,71,64,64
female,group D,some high school,standard,none,90,89,88
male,group C,some college,standard,none,83,67,87
male,group D,high school,standard,none,100,60,91
male,group C,some college,standard,none,78,70,67
male,group C,some college,free/reduced,none,59,67,88
female,group D,master's degree,free/reduced,none,63,69,67
female,group E,high school,free/reduced,completed,40,94,90
male,group C,associate's degree,standard,none,64,64,66
female,group C,some high school,standard,completed,89,100,72
male,group D,master's degree,standard,completed,89,68,44
male,group D,master's degree,free/reduced,none,72,96,71
female,group A,associate's degree,standard,none,55,64,80
male,group C,some college,standard,none,73,76,67
female,group C,high school,standard,none,85,69,93
male,group E,bachelor's degree,free/reduced,completed,82,73,58
female,group C,associate's degree,standard,completed,79,92,75
male,group C,high school,standard,none,57,94,60
male,group E,some college,standard,none,80,87,67
female,group C,some college,standard,completed,28,78,94
male,group B,bachelor's degree,standard,completed,88,82,100
male,group B,associate's degree,standard,none,100,65,66
male,group B,associate's degree,standard,completed,53,71,72
male,group A,associate's degree,free/reduced,none,67,58,54
male,group C,high school,standard,none,68,63,95
female,group D,high school,free/reduced,none,63,73,87
female,group D,some high school,standard,none,89,48,68
female,group A,associate's degree,free/reduced,completed,80,77,57
male,group C,some college,standard,none,69,100,57
male,group B,some college,free/reduced,none,85,84,76
female,group E,high school,standard,none,72,60,83
female,group B,high school,free/reduced,none,100,52,35
male,group D,some college,standard,none,76,80,67
female,group C,high school,free/reduced,none,70,32,91
male,group D,some high school,free/reduced,completed,49,90,71
female,group C,associate's degree,standard,none,62,77,97
male,group D,high school,standard,completed,94,100,86
female,group B,some college,standard,none,48,58,55
female,group E,some college,standard,completed,47,92,70
male,group C,bachelor's degree,standard,completed,79,82,71
male,group D,high school,standard,none,92,66,59
female,group D,associate's degree,standard,none,72,57,68
female,group E,master's degree,standard,completed,74,92,100
male,group B,associate's degree,free/reduced,none,36,76,53
male,group C,some college,standard,none,80,100,91
female,group B,associate's degree,free/reduced,none,81,84,60
female,group B,some college,standard,none,43,66,70
male,group C,some college,standard,none,90,64,79
male,group E,some college,standard,completed,90,68,71
male,group E,high school,free/reduced,none,82,94,76
male,group C,some high school,standard,completed,80,65,49
female,group D,some college,free/reduced,completed,78,98,84
male,group D,some high school,standard,none,75,75,34
male,group E,some college,standard,none,78,83,71
male,group B,some college,standard,none,48,66,84
female,group C,master's degree,standard,none,52,85,83
female,group D,some high school,standard,none,58,73,49
male,group C,associate's degree,standard,none,63,73,60
female,group C,some college,standard,none,71,84,63
male,group E,some high school,standard,completed,80,82,76
female,group E,high school,standard,none,93,65,43
male,group E,some high school,free/reduced,none,80,79,64
male,group D,high school,standard,none,60,70,83
female,group B,high school,standard,none,72,86,68
female,group C,some college,free/reduced,completed,60,68,85
male,group C,some college,standard,none,72,64,81
male,group C,some high school,standard,none,73,100,62
female,group C,some high school,free/reduced,none,11,92,39
male,group D,some high school,free/reduced,none,100,84,71
male,group C,some college,free/reduced,none,75,56,56
female,group D,high school,standard,none,65,70,66
female,group C,some college,free/reduced,completed,99,99,79
female,group C,high school,standard,completed,75,78,100
female,group B,some high school,free/reduced,none,67,56,65
female,group B,master's degree,free/reduced,completed,68,100,88
female,group D,some high school,free/reduced,none,90,60,49
male,group C,some high school,standard,completed,72,100,84
female,group B,some high school,standard,none,72,48,73
male,group D,master's degree,free/reduced,none,85,84,93
female,group C,associate's degree,standard,none,84,100,69
female,group A,associate's degree,standard,none,70,75,76
male,group C,master's degree,free/reduced,completed,87,77,94
male,group B,some high school,standard,none,100,57,72
female,group D,master's degree,standard,none,73,94,64
female,group B,high school,standard,none,74,60,100
female,group A,associate's degree,standard,completed,77,83,61
male,group A,some college,standard,completed,98,59,81
female,group C,some college,standard,none,63,92,79
female,group A,master's degree,free/reduced,none,64,89,73
female,group D,some high school,free/reduced,none,43,67,66
female,group B,master's degree,standard,completed,62,69,85
male,group D,high school,standard,completed,60,100,71
male,group C,associate's degree,free/reduced,none,65,72,57
female,group C,master's degree,free/reduced,completed,100,65,100
female,group A,some high school,free/reduced,none,77,45,63
female,group D,master's degree,standard,completed,71,76,98
female,group E,some college,free/reduced,none,51,53,63
male,group A,associate's degree,standard,none,91,70,70
male,group B,some high school,standard,none,82,85,68
male,group E,some college,free/reduced,none,71,67,41
male,group C,associate's degree,standard,completed,74,82,79
male,group B,some college,standard,none,89,60,69
male,group B,some high school,standard,completed,61,80,100
female,group D,high school,standard,completed,86,100,58
female,group D,bachelor's degree,standard,completed,100,80,73
female,group C,some high school,free/reduced,completed,77,80,57
male,group E,associate's degree,standard,none,62,56,94
female,group C,master's degree,standard,none,79,96,68
male,group C,some high school,free/reduced,none,60,62,76
male,group C,some high school,standard,none,51,84,85
male,group C,associate's degree,free/reduced,completed,83,77,73
female,group B,some high school,standard,none,85,76,50
female,group A,some college,standard,none,70,86,53
female,group C,associate's degree,standard,none,71,66,85
male,group D,some college,free/reduced,none,49,85,50
male,group A,high school,standard,completed,73,73,84
male,group C,associate's degree,free/reduced,none,60,83,70
female,group D,some college,standard,completed,63,71,87
female,group D,high school,standard,none,97,77,81
female,group D,some college,standard,completed,90,71,65
male,group D,bachelor's degree,standard,none,83,73,61
male,group D,associate's degree,standard,none,87,62,93
female,group B,some college,standard,none,88,81,71
male,group C,high school,standard,none,63,76,29
female,group D,some high school,standard,completed,79,74,85
male,group B,high school,standard,none,63,74,55
female,group A,some high school,standard,none,76,75,83
female,group B,master's degree,standard,completed,80,73,100
male,group C,high school,standard,none,67,71,74
female,group C,bachelor's degree,standard,none,54,59,97
female,group B,some high school,standard,completed,77,100,81
female,group D,high school,standard,none,67,90,99
female,group E,some college,free/reduced,completed,46,80,61
male,group B,high school,standard,none,75,100,72
male,group E,bachelor's degree,standard,completed,94,52,96
male,group A,master's degree,free/reduced,completed,100,43,73
female,group E,bachelor's degree,standard,completed,67,74,100
male,group E,some high school,standard,none,63,53,64
female,group A,associate's degree,free/reduced,completed,51,73,100
female,group D,some high school,free/reduced,none,67,74,96
female,group E,bachelor's degree,free/reduced,completed,73,90,79
male,group E,some college,standard,none,63,59,82
male,group E,high school,standard,none,64,79,84
male,group C,some high school,free/reduced,completed,36,70,55
female,group A,some high school,free/reduced,none,79,71,46
female,group D,high school,standard,none,57,66,95
male,group D,bachelor's degree,standard,completed,74,100,88
male,group D,bachelor's degree,standard,none,53,78,71
female,group C,master's degree,standard,none,59,100,76
female,group C,some high school,free/reduced,none,57,57,31
female,group B,some college,standard,none,69,81,76
male,group D,high school,standard,none,80,75,60
female,group A,some college,standard,none,97,69,86
male,group D,high school,standard,none,85,86,85
female,group D,high school,standard,none,84,74,78
male,group C,some college,standard,none,86,38,81
female,group C,high school,standard,none,80,29,52
female,group C,some college,free/reduced,none,70,88,82
female,group E,associate's degree,standard,none,91,95,88
female,group D,some high school,standard,none,87,99,98
male,group C,master's degree,standard,completed,86,83,100
female,group B,some college,standard,none,48,59,48
male,group B,bachelor's degree,standard,none,66,73,67
female,group C,associate's degree,standard,none,64,76,66
female,group E,associate's degree,standard,none,80,57,78
male,group D,associate's degree,standard,completed,80,100,84
female,group B,bachelor's degree,free/reduced,completed,89,100,71
male,group D,associate's degree,standard,completed,94,90,98
male,group C,high school,standard,none,93,75,58
male,group D,some high school,standard,none,89,50,57
female,group B,some college,standard,none,54,97,57
female,group D,some high school,standard,none,73,76,71
male,group E,high school,standard,none,67,72,61
female,group B,some high school,standard,none,45,81,68
female,group D,some college,standard,none,71,61,74
female,group E,some high school,free/reduced,completed,93,80,53
male,group B,associate's degree,free/reduced,none,72,53,86
male,group A,bachelor's degree,free/reduced,none,96,84,65
male,group D,bachelor's degree,standard,completed,86,80,97
male,group C,high school,standard,completed,100,97,73
female,group A,some college,standard,none,68,75,73
male,group C,some college,standard,none,73,72,69
female,group D,some college,standard,none,52,61,69
male,group C,associate's degree,standard,none,85,82,85
female,group C,high school,standard,none,64,59,66
male,group D,master's degree,standard,none,60,65,90
female,group C,some high school,standard,none,87,71,62
